"date","close","volume","open","high","low"
"16:00","7.76","269,551","7.76","7.81","7.69"
"2017/11/20","7.7750","279551.0000","7.7600","7.8100","7.6900"
"2017/11/17","7.8000","679828.0000","7.6400","7.8400","7.6400"
"2017/11/16","7.6400","220587.0000","7.4000","7.6700","7.3814"
"2017/11/15","7.3300","165538.0000","7.2700","7.4700","7.2700"
"2017/11/14","7.3000","143856.0000","7.2300","7.3100","7.2300"
"2017/11/13","7.2200","153508.0000","7.1400","7.2500","7.1400"
"2017/11/10","7.1700","243176.0000","7.1500","7.2400","7.1419"
"2017/11/09","7.1900","169841.0000","7.1100","7.2100","7.0900"
"2017/11/08","7.2100","211675.0000","7.1000","7.2400","7.1000"
"2017/11/07","7.1200","342403.0000","7.1800","7.2500","6.9600"
"2017/11/06","7.2300","204001.0000","7.2300","7.3000","7.1100"
"2017/11/03","7.2500","200828.0000","7.2700","7.3100","7.2400"
"2017/11/02","7.1800","250986.0000","7.1700","7.3200","7.1700"
"2017/11/01","7.1700","171437.0000","7.2300","7.3000","7.0500"
"2017/10/31","7.2000","311667.0000","7.0500","7.2900","7.0500"
"2017/10/30","7.0700","279852.0000","7.0300","7.1000","7.0200"
"2017/10/27","7.0200","174023.0000","7.0500","7.0800","7.0100"
"2017/10/26","7.0300","104203.0000","7.0200","7.0600","7.0000"
"2017/10/25","7.0200","51845.0000","7.0600","7.0600","7.0200"
"2017/10/24","7.0490","67775.0000","7.0600","7.0700","7.0200"
"2017/10/23","7.0600","168999.0000","7.0100","7.0900","6.9900"
"2017/10/20","7.0300","38042.0000","7.0300","7.0700","6.9700"
"2017/10/19","7.0400","69144.0000","7.0350","7.0500","6.9800"
"2017/10/18","7.0700","33184.0000","7.0100","7.0700","6.9800"
"2017/10/17","7.0200","13983.0000","7.0100","7.0400","7.0100"
"2017/10/16","7.0400","27879.0000","7.1100","7.1100","7.0184"
"2017/10/13","7.0600","20542.0000","7.1200","7.1200","7.0100"
"2017/10/12","7.1100","41558.0000","7.1000","7.1100","7.0000"
"2017/10/11","7.0700","18191.0000","7.0050","7.0899","6.9400"
"2017/10/10","7.0500","16471.0000","7.1400","7.1500","6.9601"
"2017/10/09","7.0700","24069.0000","7.0000","7.0900","6.9800"
