"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170930,3386718900.02,3386718900.02,,,,,,,,3267832559.09,1705028714.83,,,,,,,,,,,19556274,698425806.19,815426185.61,-23049877.24,52445455.7,,,,4542509.2,-3366858.32,,,,,,,,224693384.97,2989849.24,9009135.23,487000.96,,,218674098.98,46301321.37,,,,172372777.61,168618839.48,,3753938.13,,,0.12,0.12,-11842.05,-11842.05,,172360935.56,168606997.43,3753938.13,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170630,2102362655.68,2102362655.68,,,,,,,,2039169671.01,1075484924.21,,,,,,,,,,,10758407.38,414117036.09,497004258.1,-10524310.2,52329355.42,,,,-2653230.44,-3366858.32,,,,,,,,133831071.86,979546.1,3773258.1,388303.77,,,131037359.86,29936743.5,,,,101100616.36,107283558.14,,-6182941.78,,,0.08,0.08,37654.93,37654.93,,101138271.29,107321213.07,-6182941.78,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170331,856220354.62,856220354.62,,,,,,,,810815220.09,439414391.03,,,,,,,,,,,3877723.87,167305272.14,208769840.21,-8552007.16,,,,,262169.86,,,,,,,,,45667304.39,37520852.31,241860.57,78148,,,82946296.13,18245744.66,,,,64700551.47,73982687.96,,-9282136.49,,,0.06,0.06,105075.71,105075.71,,64805627.18,74087763.67,-9282136.49,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,3320476689.57,3320476689.57,,,,,,,,3083291068.34,1642984251.84,,,,,,,,,,,30230470.64,648741756.43,729454216.96,-33729042.11,65609414.58,,,,146560792.91,12239881.88,,,,,,,,383746414.14,190746329.37,13633055.96,7791606.64,,,560859687.55,64081356.04,,,,496778331.51,484430415.83,,12347915.68,,,0.37,0.37,-256578.06,-256578.06,,496521753.45,484173837.77,12347915.68,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,2141283150.88,2141283150.88,,,,,,,,2070972997.19,1116519398,,,,,,,,,,,16645475.56,415921212.86,507824945.47,-33495231.72,47557197.02,,,,134470111.47,-1243365.38,,,,,,,,204780265.16,113446363.35,5528502.16,715074.05,,,312698126.35,42772343.48,,,,269925782.87,278475158.41,,-8549375.54,,,0.22,0.22,,,,269925782.87,278475158.41,-8549375.54,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,1462110305.43,1462110305.43,,,,,,,,1379535890.3,763493113.02,,,,,,,,,,,14446761.17,249470635.16,316512744.37,-11944560.44,47557197.02,,,,124033551.85,-1243365.38,,,,,,,,206607966.98,80121972.1,1731519.77,299960.58,,,284998419.31,36800252,,,,248198167.31,256096339.67,,-7898172.36,,,0.2,0.2,,,,248198167.31,256096339.67,-7898172.36,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,632890752.02,632890752.02,,,,,,,,591734657.7,331670110.38,,,,,,,,,,,10775878.06,110880757.52,149263263.06,-10855351.32,,,,,8200473.19,,,,,,,,,49356567.51,29389717.44,355416.01,260437.18,,,78390868.94,17066511.12,,,,61324357.82,70669421.49,,-9345063.67,,,0.05,0.05,,,,61324357.82,70669421.49,-9345063.67,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,2500799130.07,2500799130.07,,,,,,,,2242163759.52,1278030596.39,,,,,,,,,,,22721766.58,375465846.86,565330115.61,-37775847.51,38391281.59,,,,39112929.33,10553935.02,,,,,,,,297748299.88,168694336.68,1900968.37,153461.75,,,464541668.19,27957390.31,,,,436584277.88,425294489.51,,11289788.37,,,0.34,0.34,,,,436584277.88,425294489.51,11289788.37,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,1674165081.87,1674165081.87,,,,,,,,1560027322.5,862571972.35,,,,,,,,,,,16427427.13,249207963.91,416315961.96,-13939143.95,29443141.1,,,,19001145.62,-2074587.04,,,,,,,,133138904.99,135987941.86,3733603.16,127697.56,,,265393243.69,37596077.81,,,,227797165.88,223648016.32,,4149149.56,,,0.18,0.18,,,,227797165.88,223648016.32,4149149.56,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,1039152002.82,1039152002.82,,,,,,,,976470145.38,526151381.79,,,,,,,,,,,11103118.65,150900289.73,270899308.26,-12003682.15,29419729.1,,,,12005408.63,-2074587.04,,,,,,,,74687266.07,89819120.37,1039846.51,70339.92,,,163466539.93,22309413.26,,,,141157126.67,143092293.14,,-1935166.47,,,0.12,0.12,,,,141157126.67,143092293.14,-1935166.47,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,406106413.44,406106413.44,,,,,,,,376195709.79,176058201.49,,,,,,,,,,,3680714.01,61494584.13,136229078.44,-1266868.28,,,,,6750000,,,,,,,,,36660703.65,40985430.61,318325.54,30464.27,,,77327808.72,16740543.87,,,,60587264.85,66586553.26,,-5999288.41,,,0.08,0.08,,,,60587264.85,66586553.26,-5999288.41,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20141231,1775210612.95,1775210612.95,,,,,,,,1499865867.27,787583728.98,,,,,,,,,,,25186096.23,240084092.69,455472625.26,-41807006.39,33346330.5,,,,12719198.56,2905317.78,,,,,,,,288063944.24,149647816.94,3962531.15,929038.76,,,433749230.03,45262679.92,,,,388486550.11,379429886.55,,9056663.56,,,0.47,0.47,,,,388486550.11,379429886.55,9056663.56,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140930,1105348845.72,1105348845.72,,,,,,,,976280476.03,531375975.46,,,,,,,,,,,16992859.88,150250416.21,302747192.24,-39421227.76,14335260,,,,1951280.82,75487.49,,,,,,,,131019650.51,108130996.87,3327551.54,529414.11,,,235823095.84,35272815.46,,,,200550280.38,198083916.57,,2466363.81,,,0.25,0.25,,,,200550280.38,198083916.57,2466363.81,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140630,647691846.95,647691846.95,,,,,,,,572220743.09,294132869.55,,,,,,,,,,,10559423.83,88986215.15,196130934.07,-31353409.51,13764710,,,,613855.85,75487.49,,,,,,,,76084959.71,61233710.33,3028203.32,462330.19,,,134290466.72,16426799.58,,,,117863667.14,116794339.24,,1069327.9,,,0.15,0.15,,,,117863667.14,116794339.24,1069327.9,,,,,,,,,,,,,,,,,,,,,,,,
